Estimate : 4, Ground truth : 0, Distinct #flows : 13
Estimate : 4, Ground truth : 1, Distinct #flows : 14
Estimate : 16, Ground truth : 15, Distinct #flows : 11
Estimate : 16, Ground truth : 15, Distinct #flows : 11
Estimate : 16, Ground truth : 15, Distinct #flows : 10
Estimate : 16, Ground truth : 15, Distinct #flows : 10
Estimate : 16, Ground truth : 15, Distinct #flows : 9
Estimate : 16, Ground truth : 15, Distinct #flows : 9
Estimate : 16, Ground truth : 15, Distinct #flows : 9
Estimate : 5, Ground truth : 1, Distinct #flows : 14
Estimate : 4, Ground truth : 0, Distinct #flows : 14
Estimate : 4, Ground truth : 2, Distinct #flows : 15
Estimate : 4, Ground truth : 1, Distinct #flows : 15
Estimate : 9, Ground truth : 0, Distinct #flows : 15
Estimate : 9, Ground truth : 0, Distinct #flows : 16
Estimate : 2, Ground truth : 0, Distinct #flows : 16
Estimate : 4, Ground truth : 0, Distinct #flows : 17
Estimate : 4, Ground truth : 0, Distinct #flows : 18
Estimate : 3, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 3, Ground truth : 0, Distinct #flows : 19
Estimate : 3, Ground truth : 0, Distinct #flows : 20
Estimate : 3, Ground truth : 0, Distinct #flows : 20
Estimate : 4, Ground truth : 2, Distinct #flows : 20
Estimate : 4, Ground truth : 2, Distinct #flows : 19
Estimate : 4, Ground truth : 1, Distinct #flows : 19
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 2, Ground truth : 0, Distinct #flows : 20
Estimate : 2, Ground truth : 0, Distinct #flows : 21
Estimate : 2, Ground truth : 0, Distinct #flows : 21
Estimate : 2, Ground truth : 0, Distinct #flows : 21
Estimate : 5, Ground truth : 0, Distinct #flows : 21
Estimate : 5, Ground truth : 0, Distinct #flows : 22
Estimate : 12, Ground truth : 10, Distinct #flows : 21
Estimate : 12, Ground truth : 10, Distinct #flows : 21
Estimate : 12, Ground truth : 10, Distinct #flows : 21
Estimate : 4, Ground truth : 0, Distinct #flows : 20
Estimate : 2, Ground truth : 0, Distinct #flows : 21
Estimate : 3, Ground truth : 0, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 24
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 3, Ground truth : 0, Distinct #flows : 21
Estimate : 2, Ground truth : 0, Distinct #flows : 20
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 3, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 18
Estimate : 1, Ground truth : 0, Distinct #flows : 13
Estimate : 1, Ground truth : 0, Distinct #flows : 12
Estimate : 1, Ground truth : 0, Distinct #flows : 9
Estimate : 1, Ground truth : 0, Distinct #flows : 9
Estimate : 3, Ground truth : 0, Distinct #flows : 9
Estimate : 2, Ground truth : 0, Distinct #flows : 9
Estimate : 2, Ground truth : 0, Distinct #flows : 8
Estimate : 3, Ground truth : 0, Distinct #flows : 10
Estimate : 2, Ground truth : 1, Distinct #flows : 13
Estimate : 1, Ground truth : 0, Distinct #flows : 13
Estimate : 3, Ground truth : 0, Distinct #flows : 14
Estimate : 2, Ground truth : 0, Distinct #flows : 16
Estimate : 3, Ground truth : 0, Distinct #flows : 16
Estimate : 2, Ground truth : 1, Distinct #flows : 17
Estimate : 7, Ground truth : 0, Distinct #flows : 17
Estimate : 7, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 18
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 2, Ground truth : 0, Distinct #flows : 19
Estimate : 24, Ground truth : 22, Distinct #flows : 19
Estimate : 3, Ground truth : 0, Distinct #flows : 19
Estimate : 3, Ground truth : 0, Distinct #flows : 20
Estimate : 3, Ground truth : 0, Distinct #flows : 20
Estimate : 2, Ground truth : 0, Distinct #flows : 20
Estimate : 1, Ground truth : 0, Distinct #flows : 21
Estimate : 1, Ground truth : 0, Distinct #flows : 22
Estimate : 3, Ground truth : 0, Distinct #flows : 23
Estimate : 3, Ground truth : 0, Distinct #flows : 23
Estimate : 1, Ground truth : 0, Distinct #flows : 23
Estimate : 3, Ground truth : 2, Distinct #flows : 23
Estimate : 12, Ground truth : 10, Distinct #flows : 23
Estimate : 12, Ground truth : 10, Distinct #flows : 23
Estimate : 12, Ground truth : 10, Distinct #flows : 23
Estimate : 12, Ground truth : 10, Distinct #flows : 23
Estimate : 12, Ground truth : 10, Distinct #flows : 23
Estimate : 2, Ground truth : 1, Distinct #flows : 23
Estimate : 24, Ground truth : 22, Distinct #flows : 23
Estimate : 24, Ground truth : 22, Distinct #flows : 23
Estimate : 24, Ground truth : 22, Distinct #flows : 23
Estimate : 24, Ground truth : 22, Distinct #flows : 23
Estimate : 24, Ground truth : 22, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 7, Ground truth : 6, Distinct #flows : 23
Estimate : 2, Ground truth : 0, Distinct #flows : 23
Estimate : 3, Ground truth : 0, Distinct #flows : 23
Estimate : 1, Ground truth : 0, Distinct #flows : 24
Estimate : 3, Ground truth : 2, Distinct #flows : 25
Estimate : 3, Ground truth : 2, Distinct #flows : 25
Estimate : 4, Ground truth : 1, Distinct #flows : 25
Estimate : 2, Ground truth : 1, Distinct #flows : 24
Estimate : 2, Ground truth : 1, Distinct #flows : 23
Estimate : 3, Ground truth : 2, Distinct #flows : 23
Estimate : 4, Ground truth : 1, Distinct #flows : 23
Estimate : 5, Ground truth : 1, Distinct #flows : 23
Estimate : 1, Ground truth : 0, Distinct #flows : 23
Estimate : 2, Ground truth : 1, Distinct #flows : 23
Estimate : 1, Ground truth : 0, Distinct #flows : 23
Estimate : 4, Ground truth : 0, Distinct #flows : 23
Estimate : 1, Ground truth : 0, Distinct #flows : 24
Estimate : 3, Ground truth : 0, Distinct #flows : 25
Estimate : 6, Ground truth : 3, Distinct #flows : 25
Estimate : 3, Ground truth : 0, Distinct #flows : 25
Estimate : 6, Ground truth : 3, Distinct #flows : 25
Estimate : 1, Ground truth : 0, Distinct #flows : 24
Estimate : 4, Ground truth : 1, Distinct #flows : 24
Estimate : 1, Ground truth : 0, Distinct #flows : 24
